ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario,svi_log_dev_adf_stat,svi_log_dev_adf_pvalor,svi_log_dev_estacionario,svi_exp_dev_adf_stat,svi_exp_dev_adf_pvalor,svi_exp_dev_estacionario
VIVR3,-2.5278,0.1089,False,-5.7243,0.0,True,-8.6164,0.0,True,-8.3971,0.0,True
VIVT3,-3.7252,0.0038,True,-10.0159,0.0,True,-8.5146,0.0,True,-8.6976,0.0,True
VLID3,-5.035,0.0,True,-8.7477,0.0,True,-12.6884,0.0,True,-3.2036,0.0198,True
VSTE3,-2.9708,0.0377,True,-6.4515,0.0,True,-2.6229,0.0884,False,-8.2935,0.0,True
VULC3,-0.2185,0.9363,False,-12.8172,0.0,True,-13.0095,0.0,True,-11.7293,0.0,True
WEGE3,-4.3509,0.0004,True,-6.4981,0.0,True,-4.1294,0.0009,True,-3.911,0.002,True
WHRL3,-12.3049,0.0,True,-14.7327,0.0,True,-20.2567,0.0,True,-22.2338,0.0,True
WHRL4,-6.7236,0.0,True,-8.8484,0.0,True,-13.1451,0.0,True,-14.8775,0.0,True
WIZC3,-1.6301,0.4674,False,-5.3698,0.0,True,-5.3649,0.0,True,-4.4684,0.0002,True
WLMM4,-16.5905,0.0,True,-8.5907,0.0,True,-16.3499,0.0,True,-16.3479,0.0,True
YDUQ3,-3.6783,0.0044,True,-9.7426,0.0,True,-8.9769,0.0,True,-10.7071,0.0,True
