ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4
QUAL3,103,-0.536162195364287,0.07962537904090092,83.49514563106796,0.12255373307296524,0.20850139237746382,-0.536162195364287,0.07962537904090092,83.49514563106796,9.746198108767746e-9,0.9999999558117193,0,-0.06055666739078312,0.05797763799952845,0.9866764511174547,0.9867332678261572
RAIL3,103,-0.2635426184420994,0.28085125849623876,47.57281553398058,0.3470514152805979,0.1024458339759523,-0.2635426184420994,0.28085125849623876,47.57281553398058,8.536137168344644e-9,0.9999999937202009,0,-0.04043173359088428,0.05680604527521859,0.9742433074057958,0.969006649460312
RANI3,103,-0.052240920625112756,0.16221246283321797,68.93203883495146,0.8108387615731416,0.449366130662286,-0.052240920625112756,0.16221246283321797,68.93203883495146,9.173984995649467e-9,0.999991833914425,0,-0.21974624448207958,-0.18409155521336393,0.9979044414639885,0.9979268276674013
RAPT3,103,-0.011408981796985393,0.267796153801939,44.66019417475729,0.3618184554163399,0.264675710841827,-0.011408981796985393,0.267796153801939,44.66019417475729,1.0980795477499574e-8,0.9999994071039836,0,-0.15769254955504858,-0.04930661691491052,0.9802928205570276,0.9820786783758418
RAPT4,103,-0.08567654725030356,0.21359035897918047,24.271844660194176,0.3707099315024101,0.29903759118549794,-0.08567654725030356,0.21359035897918047,24.271844660194176,0.33094527102373805,0.9354727161684793,0,0.24169808845440272,0.18621866112808014,0.9450825369788823,0.9558140097056291
RCSL3,103,-0.022715539759900955,0.04564153358710699,78.64077669902912,1.0836672292561758,1.1139915749976281,-0.022715539759900955,0.04564153358710699,78.64077669902912,0.0650980076881965,0.9880774951247049,0,0.20557857771944474,0.2912129215361678,0.9705031855555133,0.9709523642134635
RCSL4,103,-0.08943290910901106,0.011003125759880331,89.32038834951457,0.8072211842853692,1.0323009523272213,-0.08943290910901106,0.011003125759880331,89.32038834951457,0.014693084378327266,0.9975899285581709,0,0.1831785277906738,0.1007535892095322,0.7888750881959838,0.8226274401802106
RDOR3,103,-0.23741355910993184,0.14158908013602714,26.21359223300971,0.7182677376525404,0.765883122798097,-0.23741355910993184,0.14158908013602714,26.21359223300971,9.825258383828344e-9,0.9999998867974658,0,0.189227697181474,0.2556720592384207,0.9814734056575588,0.9814730462866113
REDE3,103,-1.8355299631406663,0.29133327034011774,30.097087378640776,0.8541683038563708,0.41220617747217153,-1.8355299631406663,0.29133327034011774,30.097087378640776,0.06096944196885753,0.9299085998719889,5.825242718446602,0.4644618183006037,0.43283921045033447,0.9694265883041411,0.9323720665932477
RENT3,103,-0.4022324480102514,0.11482466753568618,66.99029126213593,0.7287845444360364,0.8075726661569427,-0.4022324480102514,0.11482466753568618,66.99029126213593,3.920203972964704e-9,0.9999993249359392,0,0.1977717608316603,0.10424861600151382,0.8823479869360985,0.8856870358574777
