semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3
2022-05-13,13.318598747253418,14.23993968963623,116292200.0,5,0.004266473731970478,0.025997271860388183,PETR3.SA,PETR3
2022-05-20,14.640353202819824,14.64423656463623,80456600.0,5,0.0015533910772380852,0.027996178803867545,PETR3.SA,PETR3
2022-05-27,15.184601783752441,14.495277404785156,87159900.0,5,0.004280918847611315,-0.010223949346092234,PETR3.SA,PETR3
2022-06-03,14.181656837463379,14.50386905670166,71648000.0,5,0.0012588860349078163,0.0005925451757208544,PETR3.SA,PETR3
2022-06-10,14.495277404785156,14.138693809509277,53575200.0,5,0.0003308862215435411,-0.025500164693575973,PETR3.SA,PETR3
2022-06-17,13.923887252807617,12.85843563079834,93317000.0,4,0.006155548189743849,-0.09491521535409995,PETR3.SA,PETR3
2022-06-24,12.970139503479004,12.420225143432617,77908000.0,5,0.0007121089835374383,-0.03467386145074607,PETR3.SA,PETR3
2022-07-01,13.257979393005371,13.365384101867676,74686600.0,5,0.005125951665644563,0.07334188473037216,PETR3.SA,PETR3
2022-07-08,13.683300971984863,13.40404987335205,50304400.0,5,0.00362232672086142,0.002888802087452357,PETR3.SA,PETR3
2022-07-15,13.39545726776123,13.02169132232666,45674900.0,5,0.0018477342160342085,-0.028940360437091698,PETR3.SA,PETR3
2022-07-22,13.455601692199707,13.717669486999512,70097800.0,5,0.001506033484705242,0.052068215193571354,PETR3.SA,PETR3
2022-07-29,14.310543060302734,15.878643989562988,105463700.0,5,0.006348845312160362,0.14629031568162465,PETR3.SA,PETR3
2022-08-05,15.681024551391602,16.11922836303711,75106900.0,5,0.0007174167919983848,0.015037806547303339,PETR3.SA,PETR3
2022-08-12,16.896835327148438,18.115219116210938,142008000.0,5,0.009021448591099414,0.11673955248290141,PETR3.SA,PETR3
2022-08-19,18.052894592285156,18.338542938232422,97953900.0,5,0.0031174729127741614,0.012252596347988039,PETR3.SA,PETR3
2022-08-26,18.629384994506836,19.45516014099121,87015800.0,5,0.0018597649759031947,0.05910732129089304,PETR3.SA,PETR3
2022-09-02,19.875843048095703,19.36687469482422,127718400.0,5,0.005203432291667386,-0.004548221067341077,PETR3.SA,PETR3
2022-09-09,19.3253231048584,18.426834106445312,64121000.0,4,0.001393565578139207,-0.049756139120566874,PETR3.SA,PETR3
2022-09-16,18.348928451538086,17.871118545532227,96820400.0,5,0.0011478875146003207,-0.030622056873743662,PETR3.SA,PETR3
2022-09-23,18.084056854248047,17.08688735961914,138366500.0,5,0.0059218132490669135,-0.044874572418901144,PETR3.SA,PETR3
2022-09-30,16.868759155273438,17.18037223815918,106091600.0,5,0.0005132328697791609,0.005456234992907574,PETR3.SA,PETR3
2022-10-07,18.70209503173828,19.444778442382812,138651300.0,5,0.009683653848113077,0.1238109902076513,PETR3.SA,PETR3
2022-10-14,19.268190383911133,19.294158935546875,76990400.0,4,0.0015172392628938888,-0.007776169198838827,PETR3.SA,PETR3
2022-10-21,19.169513702392578,21.584529876708984,126368200.0,5,0.0036876911931637037,0.11217444440024793,PETR3.SA,PETR3
2022-10-28,19.449968338012695,18.582639694213867,135614200.0,5,0.011648205086470994,-0.14974905357441914,PETR3.SA,PETR3
2022-11-04,17.27385711669922,16.46885108947754,143590600.0,4,0.008237745727064545,-0.12075701112029882,PETR3.SA,PETR3
2022-11-11,15.90794563293457,15.94430160522461,137196100.0,5,0.0028261005903674422,-0.03236928471730558,PETR3.SA,PETR3
2022-11-18,16.385753631591797,15.78330135345459,102993800.0,4,0.0012752558989191482,-0.010148994484341364,PETR3.SA,PETR3
2022-11-25,15.726170539855957,16.052536010742188,123084600.0,5,0.0019976879076277375,0.01691433921242868,PETR3.SA,PETR3
2022-12-02,16.449615478515625,17.30216407775879,96875300.0,5,0.005136673966099103,0.07496474088633735,PETR3.SA,PETR3
2022-12-09,17.06859016418457,16.385379791259766,60095100.0,5,0.000898701380946352,-0.05444212379413138,PETR3.SA,PETR3
2022-12-16,15.941580772399902,14.586844444274902,162957500.0,5,0.012228628282472067,-0.1162694040361238,PETR3.SA,PETR3
2022-12-23,14.919689178466797,16.677350997924805,76090600.0,5,0.004382235729674581,0.13393151419426,PETR3.SA,PETR3
2022-12-30,16.624794006347656,16.373699188232422,60313500.0,4,0.0003503317720452738,-0.018375231765106168,PETR3.SA,PETR3
2023-01-06,15.281729698181152,15.713851928710938,102017900.0,5,0.00629624029995614,-0.041133727659796504,PETR3.SA,PETR3
2023-01-13,15.81895637512207,16.169321060180664,52095400.0,5,0.000276060581909366,0.028573073267753487,PETR3.SA,PETR3
2023-01-20,15.766400337219238,17.418954849243164,71001300.0,5,0.0066690675175968776,0.0744432873640047,PETR3.SA,PETR3
2023-01-27,17.821876525878906,16.875890731811523,69775600.0,5,0.0019269060203187362,-0.031672952978361035,PETR3.SA,PETR3
2023-02-03,16.92844581604004,16.256912231445312,67525400.0,5,0.0031678432640553263,-0.03736783305158088,PETR3.SA,PETR3
2023-02-10,16.84669303894043,17.56494140625,60327600.0,5,0.0024240325039995994,0.07738676346681417,PETR3.SA,PETR3
2023-02-17,17.652530670166016,17.337202072143555,54990100.0,5,0.0003164188352563032,-0.013050348409632696,PETR3.SA,PETR3
2023-02-24,16.905086517333984,17.27297019958496,40355500.0,3,0.0022065408681593572,-0.003711738028798201,PETR3.SA,PETR3
2023-03-03,17.559099197387695,16.922605514526367,101197800.0,5,0.00434526404501434,-0.020492530906678796,PETR3.SA,PETR3
2023-03-10,17.173696517944336,16.583919525146484,68974700.0,5,0.0016013087000205286,-0.02021680998123803,PETR3.SA,PETR3
2023-03-17,16.058372497558594,15.392680168151855,74439300.0,5,0.002004231511608229,-0.07454143989597718,PETR3.SA,PETR3
2023-03-24,15.030634880065918,14.98392105102539,53809700.0,5,0.0015257151370023708,-0.026914386423030803,PETR3.SA,PETR3
2023-03-31,15.211660385131836,15.468591690063477,59016300.0,5,0.0012406855851374485,0.031833929296090836,PETR3.SA,PETR3
2023-04-07,16.20435905456543,15.813117027282715,42180500.0,4,0.0024998033625956255,0.022028161675775912,PETR3.SA,PETR3
2023-04-14,16.233552932739258,17.413116455078125,61527900.0,5,0.002890153915666178,0.09638395428415841,PETR3.SA,PETR3
2023-04-21,17.489030838012695,17.413116455078125,52818700.0,4,0.0017078041435020573,1.1275702593849246e-17,PETR3.SA,PETR3
2023-04-28,17.681730270385742,17.330873489379883,113454200.0,5,0.0019042242811029846,-0.004734235730489096,PETR3.SA,PETR3
2023-05-05,16.557580947875977,17.408855438232422,57149200.0,4,0.004017222317065734,0.004489504221312765,PETR3.SA,PETR3
2023-05-12,17.69477653503418,18.935949325561523,66374000.0,5,0.0020853050247298527,0.08408318612855725,PETR3.SA,PETR3
2023-05-19,18.55904769897461,19.03342056274414,110259100.0,5,0.0009765091935073631,0.005134214846461268,PETR3.SA,PETR3
2023-05-26,18.747499465942383,19.520790100097656,48419700.0,5,0.0010950809453922922,0.025283645640569983,PETR3.SA,PETR3
2023-06-02,19.397321701049805,19.767723083496094,62752800.0,5,0.0012436477667724228,0.012570403661237621,PETR3.SA,PETR3
2023-06-09,19.891189575195312,21.931644439697266,64926600.0,4,0.0035867574463379318,0.10388008520234289,PETR3.SA,PETR3
2023-06-16,22.211071014404297,22.97026252746582,124460200.0,5,0.002195399816890249,0.04626990031211273,PETR3.SA,PETR3
2023-06-23,23.54125213623047,23.321115493774414,68291900.0,5,0.003611159356015068,0.015158748767233013,PETR3.SA,PETR3
2023-06-30,23.775148391723633,22.77075958251953,66817700.0,5,0.003394388898775336,-0.023881956112803866,PETR3.SA,PETR3
2023-07-07,23.162887573242188,22.791399002075195,48370000.0,5,0.000491119792937055,0.0009059896022752647,PETR3.SA,PETR3
2023-07-14,22.791399002075195,22.392396926879883,52560800.0,5,0.0007355334328545703,-0.017661749700771306,PETR3.SA,PETR3
2023-07-21,22.399274826049805,22.915233612060547,62299400.0,5,0.0004948805150175265,0.02308043429452683,PETR3.SA,PETR3
2023-07-28,23.38990592956543,22.750123977661133,63470900.0,5,0.0043942012149501015,-0.007231317681746684,PETR3.SA,PETR3
2023-08-04,23.94713592529297,22.619415283203125,96566200.0,5,0.005164248316457986,-0.005761974144697361,PETR3.SA,PETR3
2023-08-11,22.77075958251953,23.025300979614258,56201600.0,5,0.00017574124113605626,0.01778503311263894,PETR3.SA,PETR3
2023-08-18,23.1353702545166,23.72699546813965,66530200.0,5,0.0009631801123876907,0.030019795287656047,PETR3.SA,PETR3
2023-08-25,23.493099212646484,24.944873809814453,65710800.0,5,0.0034680325395169426,0.05005489335833236,PETR3.SA,PETR3
2023-09-01,25.201156616210938,25.40760040283203,70643100.0,5,0.0019428984114869567,0.018380015158975846,PETR3.SA,PETR3
2023-09-08,25.058774948120117,26.133739471435547,55265900.0,4,0.002301370518243123,0.028178821843763163,PETR3.SA,PETR3
2023-09-15,25.955764770507812,26.26900291442871,61092100.0,5,0.001396717796191671,0.005162468116906165,PETR3.SA,PETR3
2023-09-22,26.59647560119629,26.439857482910156,54391500.0,5,0.00041992660022029593,0.006482977078116627,PETR3.SA,PETR3
2023-09-29,26.61071014404297,26.973772048950195,51111300.0,5,0.0022791185077257244,0.019992363528381615,PETR3.SA,PETR3
