ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
DMVF3,103,-0.0047,0.4375,1.9417,0.0564,0.3341,-0.0047,0.4375,1.9417,0.0027,0.9844,0.0,0.2545,0.2403,0.9765,0.9855,0.5
DOHL4,103,-4.7704,0.803,3.8835,0.5699,0.5288,-4.7704,0.803,3.8835,0.0211,0.9647,0.0,0.5014,0.4979,0.4919,0.4928,0.9813
DXCO3,103,-0.0415,0.3458,19.4175,0.5069,0.6048,-0.0415,0.3458,19.4175,0.0108,0.9856,0.0,0.0193,0.056,0.9617,0.9579,0.2239
EALT3,103,-0.0472,0.3575,12.6214,0.5658,0.1041,-0.0472,0.3575,12.6214,0.0,1.0,0.0,0.1715,0.2542,0.9916,0.9917,0.9851
EALT4,103,0.0077,0.096,47.5728,0.7526,0.6547,0.0077,0.096,47.5728,0.1955,0.7574,19.4175,0.4989,0.2641,0.934,0.817,0.7388
ECOR3,103,-0.1041,0.1425,73.7864,-0.2399,0.0619,-0.1041,0.1425,73.7864,0.0,1.0,0.0,0.1069,0.1467,0.9764,0.9799,0.0037
EGIE3,103,-0.0006,0.5377,28.1553,0.7975,0.6856,-0.0006,0.5377,28.1553,0.0,1.0,0.0,-0.2151,-0.2181,0.9938,0.9943,0.0
EKTR4,103,0.0068,0.2597,22.3301,0.3275,0.0105,0.0068,0.2597,22.3301,0.0,1.0,0.0,0.0112,0.0505,0.9926,0.993,0.9813
EMAE4,103,-0.0002,0.7421,2.9126,1.0155,1.014,-0.0002,0.7421,2.9126,0.1536,0.8566,0.0,0.5295,0.5272,0.981,1.013,0.8172
ENEV3,103,-0.3738,0.0828,63.1068,0.6159,0.2282,-0.3738,0.0828,63.1068,0.0,1.0,0.0,-0.1038,0.1392,0.9794,0.9796,0.0448
