semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3,svi_zeros_pct,svi,svi_diff,svi_log_dev,svi_exp_dev
2025-04-11,7.215486526489258,7.605992317199707,1552650.0,5,0.0029864973673768,0.0188463111790211,TASA4.SA,TASA4,0.0,20,1.0,0.24116205681688818,1.272727272727273
2025-04-18,7.534990787506103,8.085249900817871,1758680.0,4,0.0051946226079282,0.0611050023352315,TASA4.SA,TASA4,0.0,20,0.0,0.18232155679395445,1.1999999999999997
2025-04-25,7.765744686126709,7.916621685028076,993300.0,4,0.0018415365134172,-0.0210768418382508,TASA4.SA,TASA4,0.0,17,-3.0,-0.054067221270275745,0.9473684210526316
2025-05-02,7.739119052886963,7.122720718383789,3448940.0,4,0.0068096598561793,-0.1056747841033547,TASA4.SA,TASA4,0.0,21,4.0,0.1466034741918758,1.1578947368421058
2025-05-09,7.277167797088623,7.795019149780273,2549690.0,5,0.0024485273065126,0.0901951833796955,TASA4.SA,TASA4,0.0,32,11.0,0.4760826753221177,1.6097560975609755
2025-05-16,7.894955158233643,7.74505090713501,2455700.0,5,0.0065356218232262,-0.0064309124311537,TASA4.SA,TASA4,0.0,33,1.0,0.48183808689273855,1.6190476190476193
2025-05-23,7.695082664489746,7.765038013458252,1130800.0,5,0.0001437849967995,0.0025773053254908,TASA4.SA,TASA4,0.0,22,-11.0,0.09097177820572666,1.0952380952380951
2025-05-30,7.595146656036377,7.695082664489746,1184600.0,5,0.0014762556418204,-0.0090498422189965,TASA4.SA,TASA4,0.0,20,-2.0,-0.023530497410193973,0.9767441860465118
2025-06-06,7.51519775390625,7.215389251708984,1226400.0,5,0.0015843597416057,-0.0643653687455071,TASA4.SA,TASA4,0.0,13,-7.0,-0.4289956055183586,0.6511627906976744
2025-06-13,7.295338153839111,7.175414562225342,983800.0,5,0.0002624441859928,-0.0055556024274582,TASA4.SA,TASA4,0.0,14,1.0,-0.3600027340314069,0.6976744186046513
2025-06-20,7.225382804870605,7.125446796417236,764800.0,4,0.0001760597462681,-0.0069881062262055,TASA4.SA,TASA4,0.0,15,1.0,-0.29546421289383584,0.7441860465116279
2025-06-27,6.995529651641846,6.81564474105835,1382400.0,5,0.001060274149969,-0.0444517656126665,TASA4.SA,TASA4,0.0,23,8.0,0.11000089521432876,1.116279069767442
2025-07-04,6.855619430541992,6.915580749511719,1181700.0,5,0.0002494516911191,0.014556278767149,TASA4.SA,TASA4,0.0,17,-6.0,-0.20067069546215155,0.8181818181818179
2025-07-11,6.915580749511719,6.345944881439209,1612700.0,5,0.0022232308516041,-0.0859609380484496,TASA4.SA,TASA4,0.0,23,6.0,0.20763936477824485,1.2307692307692313
2025-07-18,6.096104621887207,5.746327877044678,2083900.0,5,0.0030443937262751,-0.0992549868447313,TASA4.SA,TASA4,0.0,32,9.0,0.5260930958967793,1.6923076923076927
2025-07-25,5.3765645027160645,5.2066731452941895,2497900.0,5,0.0056526601541045,-0.0986199206817057,TASA4.SA,TASA4,0.0,39,7.0,0.7184649885442354,2.0512820512820515
2025-08-01,4.796935081481934,4.896871089935303,5453500.0,5,0.0184922970589865,-0.0613446519570077,TASA4.SA,TASA4,0.0,87,48.0,1.4328143767547838,4.190476190476192
2025-08-08,4.876883506774902,4.597062110900879,1766400.0,5,0.0055471282326915,-0.0631790201660947,TASA4.SA,TASA4,0.0,36,-51.0,0.4328640822962786,1.5416666666666663
2025-08-15,4.49712610244751,4.687005043029785,1674300.0,5,0.0049201458262771,0.0193763669869014,TASA4.SA,TASA4,0.0,32,-4.0,0.14660347419187536,1.1578947368421053
2025-08-22,4.716985702514648,4.667017936706543,1782000.0,5,0.002299001548184,-0.0042734846353688,TASA4.SA,TASA4,0.0,36,4.0,0.11441035117774412,1.121212121212121
